%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=206728, 2026/02/18 13:6:2.32)
1 11 3.530753e-02 1.164462e+01  9.917877917287441392e+01  1.227765542547398212e+02  1.764064667649481066e+02  3.492329480581029770e+02
2 21 3.414930e-02 1.166783e+01  9.917877917287441392e+01  1.150819984152299753e+02  2.157361632617869986e+02  3.494526427200386252e+02
3 31 3.346039e-02 1.167468e+01  9.917877917287441392e+01  1.195371556334878136e+02  1.572801143822949541e+02  2.875946672451962627e+02
4 41 3.235247e-02 1.167424e+01  9.917877917287441392e+01  1.036547388781726795e+02  1.813010961323458901e+02  2.480986435303136375e+02
5 51 3.152659e-02 1.165173e+01  9.917877917287441392e+01  1.108939184640121312e+02  1.480421019079368534e+02  3.050623294134824732e+02
6 61 3.090489e-02 1.166232e+01  9.178947212161287439e+01  9.178947212161287439e+01  1.583646749844687065e+02  2.800263009805041747e+02
7 71 3.028433e-02 1.167371e+01  9.178947212161287439e+01  1.031354824148262139e+02  1.237664427632821287e+02  2.405530382822999513e+02
8 81 2.960970e-02 1.167638e+01  9.178947212161287439e+01  1.123681920122325266e+02  1.403910004091068799e+02  4.780296820269272189e+02
9 91 2.864594e-02 1.167948e+01  9.178947212161287439e+01  1.000406833202551695e+02  1.444745428967862608e+02  2.687387347608259915e+02
10 101 2.740896e-02 1.167523e+01  9.178947212161287439e+01  9.678039106991123219e+01  1.303017545305945362e+02  2.047879451763791678e+02
11 111 2.637186e-02 1.165263e+01  9.178947212161287439e+01  1.002669340062668937e+02  1.265058542515869533e+02  2.027020126707571137e+02
12 121 2.539612e-02 1.166420e+01  9.178947212161287439e+01  1.047067208076131664e+02  1.307145345163879142e+02  2.498759500813891634e+02
13 131 2.437993e-02 1.166485e+01  9.178947212161287439e+01  1.111226637927435945e+02  1.592601552859796357e+02  2.809174933287017666e+02
14 141 2.337834e-02 1.165479e+01  9.178947212161287439e+01  1.171295641396737182e+02  1.501232584093637001e+02  3.349963781017640940e+02
15 151 2.222896e-02 1.165236e+01  9.178947212161287439e+01  1.096510947959997821e+02  1.235904323568246923e+02  2.217056139875978715e+02
16 161 2.154185e-02 1.168440e+01  9.178947212161287439e+01  9.835606894462314642e+01  1.116666501759532650e+02  2.396358018625874422e+02
17 171 2.097185e-02 1.171506e+01  9.178947212161287439e+01  9.762793814405071657e+01  1.240214314184014626e+02  2.047354003601072918e+02
18 181 2.018344e-02 1.172461e+01  9.178947212161287439e+01  1.042752671233957642e+02  1.348549463359873641e+02  2.409460708489818614e+02
19 191 1.960193e-02 1.171665e+01  9.178947212161287439e+01  1.060972945556176512e+02  1.163008340387011117e+02  2.144535608449625670e+02
20 201 1.918604e-02 1.173038e+01  9.178947212161287439e+01  1.001596913941877744e+02  1.234978492138862265e+02  1.916206616102946612e+02
21 211 1.831215e-02 1.172601e+01  9.178947212161287439e+01  9.376170674106148795e+01  1.187410827784958371e+02  2.753361172299937039e+02
22 221 1.753396e-02 1.170424e+01  9.178947212161287439e+01  9.850934160263638262e+01  1.179134969226953729e+02  2.294050036548197511e+02
23 231 1.682113e-02 1.170336e+01  9.178947212161287439e+01  1.002154586660084163e+02  1.077835672067904085e+02  2.218536237356145762e+02
24 241 1.615303e-02 1.174217e+01  9.178947212161287439e+01  1.008929038275435772e+02  1.146305340870622445e+02  1.837334952747582975e+02
25 251 1.542341e-02 1.173838e+01  9.178947212161287439e+01  9.490566288034811748e+01  1.138105381505934162e+02  1.747134936136271790e+02
26 261 1.491932e-02 1.174051e+01  9.178947212161287439e+01  9.391953065281478530e+01  1.076701823754346776e+02  1.315817936124451251e+02
27 271 1.460473e-02 1.175962e+01  9.178947212161287439e+01  1.034138662396545669e+02  1.318381056462047809e+02  2.396463786304217933e+02
28 281 1.433326e-02 1.178680e+01  9.178947212161287439e+01  1.040781607788311049e+02  1.242223626140978183e+02  1.847386775214343970e+02
29 291 1.405316e-02 1.180541e+01  9.178947212161287439e+01  9.792139110945832670e+01  1.286997102555765764e+02  2.116906993591859703e+02
30 301 1.407042e-02 1.177828e+01  9.178947212161287439e+01  1.002504115096844828e+02  1.054569398546873202e+02  1.443886705866561329e+02
31 311 1.407704e-02 1.177647e+01  9.178947212161287439e+01  9.772413907768360275e+01  1.091557537477137316e+02  1.296069525956363577e+02
32 321 1.379787e-02 1.176482e+01  9.178947212161287439e+01  9.196131289779748386e+01  1.056655368351241862e+02  1.182885240911197116e+02
33 331 1.344194e-02 1.172310e+01  9.178947212161287439e+01  9.855845397328859292e+01  1.083346200746514540e+02  1.219081200954186244e+02
34 341 1.326605e-02 1.171420e+01  9.178947212161287439e+01  9.623603409859778424e+01  1.113821034255479674e+02  1.687841677916178185e+02
35 351 1.291231e-02 1.170477e+01  9.178947212161287439e+01  9.666927239864351407e+01  1.022046813522259612e+02  1.087320561434701034e+02
