%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=216610, 2026/02/16 20:57:45.12)
1 11  1.193539593816078934e+02 0 0 1.174846e-01 9.617396e-02 1.268163e-01 7.069971e-02 8.502983e-02 1.143684e-01 1.763649e-01 1.764858e-01 1.217643e-01 1.306982e-01 1.197069e-01 9.098701e-02 6.093418e-02 8.692657e-02 3.004076e-02 9.713709e-02 1.537743e-01 5.999739e-02 5.750758e-02 3.262600e-01 9.716591e-02 7.836661e-02 1.705461e-01 3.324948e-01 1.309790e-01 3.252984e-01 2.392682e-01 2.472594e-01 
2 21  1.419745961139882127e+02 0 0 1.283174e-01 9.225167e-02 1.169977e-01 8.403986e-02 8.428083e-02 1.052784e-01 1.628958e-01 1.577363e-01 1.201173e-01 1.137659e-01 1.179916e-01 1.024315e-01 5.606440e-02 9.504867e-02 3.053050e-02 8.590676e-02 1.654364e-01 5.682417e-02 4.518966e-02 3.154356e-01 9.966825e-02 8.150580e-02 1.858953e-01 3.862732e-01 1.322888e-01 3.209687e-01 2.662105e-01 2.712075e-01 
3 31  1.366782898141650548e+02 0 0 1.480866e-01 7.435061e-02 1.264821e-01 9.401743e-02 8.415542e-02 7.352175e-02 1.464226e-01 1.310496e-01 1.147536e-01 1.172957e-01 1.247773e-01 1.054621e-01 5.196219e-02 8.764213e-02 3.100297e-02 9.648916e-02 1.629873e-01 4.901739e-02 5.157583e-02 3.317576e-01 1.054114e-01 9.195158e-02 2.012377e-01 3.880703e-01 1.093277e-01 3.373266e-01 2.626779e-01 2.611628e-01 
4 41  1.329356796651864272e+02 0 0 1.433192e-01 8.988178e-02 1.098960e-01 9.457203e-02 9.012960e-02 1.172308e-01 1.867059e-01 1.323090e-01 1.201731e-01 1.378380e-01 1.198299e-01 1.073998e-01 4.905935e-02 1.044018e-01 3.239462e-02 8.643465e-02 1.416124e-01 5.636294e-02 6.143458e-02 2.907539e-01 1.017695e-01 8.788897e-02 1.832682e-01 3.534628e-01 1.335058e-01 3.845823e-01 2.845554e-01 2.483663e-01 
5 51  1.459243181727457568e+02 0 0 1.223714e-01 7.310679e-02 1.366898e-01 9.261635e-02 8.463849e-02 9.108049e-02 1.792128e-01 1.168763e-01 1.140289e-01 1.144552e-01 1.109526e-01 9.625100e-02 5.096322e-02 9.455583e-02 3.167158e-02 8.514337e-02 1.532758e-01 5.175516e-02 5.478785e-02 3.256030e-01 9.956678e-02 8.526989e-02 1.977286e-01 3.638966e-01 1.205875e-01 3.723161e-01 2.381042e-01 2.515764e-01 
6 61  1.258388097345845011e+02 0 0 1.105130e-01 6.309231e-02 1.377965e-01 9.678585e-02 8.032287e-02 1.060893e-01 1.473708e-01 1.128658e-01 1.097400e-01 1.245657e-01 1.173066e-01 9.927849e-02 5.502992e-02 1.091640e-01 3.851768e-02 8.659639e-02 1.618162e-01 6.417463e-02 5.286318e-02 3.273723e-01 1.167708e-01 7.972911e-02 1.869244e-01 3.977135e-01 1.169401e-01 3.935137e-01 2.464653e-01 2.379310e-01 
7 71  1.232963635991484637e+02 0 0 1.259129e-01 8.745559e-02 1.324315e-01 1.124172e-01 8.517467e-02 9.721609e-02 2.002275e-01 1.033371e-01 1.094977e-01 1.220958e-01 1.136368e-01 9.133097e-02 5.454218e-02 9.817411e-02 2.983429e-02 7.956662e-02 1.540713e-01 5.039620e-02 4.545437e-02 3.820138e-01 1.119084e-01 8.907207e-02 2.273414e-01 3.856233e-01 1.406228e-01 3.930487e-01 2.464252e-01 2.197091e-01 
8 81  1.275780988791735808e+02 0 0 1.105480e-01 8.841719e-02 1.283520e-01 9.445165e-02 9.351786e-02 9.343441e-02 1.494815e-01 1.398873e-01 1.114181e-01 1.283742e-01 1.147902e-01 9.284058e-02 5.184218e-02 1.044776e-01 2.488805e-02 8.933354e-02 1.432845e-01 4.308429e-02 5.271109e-02 3.685248e-01 1.150132e-01 9.322749e-02 1.989233e-01 3.749379e-01 1.276757e-01 4.240204e-01 2.803115e-01 2.085829e-01 
9 91  1.219880398308799982e+02 0 0 1.074720e-01 1.025578e-01 1.307842e-01 8.692592e-02 1.077716e-01 9.491155e-02 1.641309e-01 1.233660e-01 1.032053e-01 1.362078e-01 1.235791e-01 8.219950e-02 5.932823e-02 1.051650e-01 2.802539e-02 8.270074e-02 1.517778e-01 4.385668e-02 4.672783e-02 3.679750e-01 1.161143e-01 9.640819e-02 1.925991e-01 3.405718e-01 1.299981e-01 3.979335e-01 2.567345e-01 2.199113e-01 
10 101  1.321334299977471574e+02 0 0 1.387586e-01 1.005532e-01 1.316929e-01 9.774978e-02 9.977331e-02 9.630935e-02 1.759200e-01 1.365042e-01 1.063206e-01 1.320826e-01 1.234778e-01 8.772382e-02 5.788756e-02 1.060007e-01 2.976540e-02 8.776493e-02 1.428548e-01 3.966034e-02 4.631518e-02 4.007762e-01 9.759630e-02 9.293562e-02 2.131923e-01 3.183094e-01 1.379258e-01 3.726016e-01 2.525077e-01 1.757359e-01 
