%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=216610, 2026/02/16 20:57:45.12)
1 11 4.046984e-02 0 0 1.365311e-02 1.072090e-02 1.389451e-02 1.047289e-02 9.139117e-03 1.273899e-02 2.006936e-02 1.842340e-02 1.197004e-02 1.352994e-02 1.266786e-02 1.009265e-02 5.638684e-03 1.109174e-02 3.411802e-03 1.072462e-02 1.623464e-02 6.541483e-03 6.298716e-03 3.797477e-02 1.032683e-02 8.617215e-03 1.909264e-02 3.677762e-02 1.374189e-02 4.042617e-02 2.809858e-02 2.518684e-02 
2 21 3.898169e-02 0 0 1.313880e-02 1.030203e-02 1.335757e-02 1.006980e-02 8.793290e-03 1.225793e-02 1.936304e-02 1.771494e-02 1.153491e-02 1.300658e-02 1.218746e-02 9.713299e-03 5.423254e-03 1.066968e-02 3.278445e-03 1.036559e-02 1.561688e-02 6.304175e-03 6.072006e-03 3.649530e-02 9.938930e-03 8.316929e-03 1.836572e-02 3.542290e-02 1.321243e-02 3.890809e-02 2.700988e-02 2.423836e-02 
3 31 3.785017e-02 0 0 1.278028e-02 1.002259e-02 1.294789e-02 9.753654e-03 8.528048e-03 1.195402e-02 1.878783e-02 1.721873e-02 1.118630e-02 1.259758e-02 1.181055e-02 9.437303e-03 5.255810e-03 1.036759e-02 3.175720e-03 1.005513e-02 1.514142e-02 6.119362e-03 5.883614e-03 3.535739e-02 9.637368e-03 8.070147e-03 1.781913e-02 3.436025e-02 1.284651e-02 3.769469e-02 2.616506e-02 2.349011e-02 
4 41 3.598858e-02 0 0 1.217550e-02 9.523090e-03 1.230882e-02 9.255006e-03 8.096172e-03 1.140801e-02 1.786130e-02 1.637816e-02 1.061250e-02 1.196605e-02 1.120938e-02 8.961903e-03 4.992747e-03 9.839618e-03 3.022070e-03 9.542696e-03 1.436892e-02 5.806850e-03 5.589119e-03 3.356348e-02 9.146699e-03 7.665878e-03 1.690937e-02 3.263781e-02 1.222840e-02 3.584213e-02 2.483731e-02 2.228677e-02 
5 51 3.440888e-02 0 0 1.161373e-02 9.119861e-03 1.178456e-02 8.846662e-03 7.720865e-03 1.089355e-02 1.705918e-02 1.569660e-02 1.012349e-02 1.142458e-02 1.070659e-02 8.553693e-03 4.761591e-03 9.400938e-03 2.883903e-03 9.108315e-03 1.371081e-02 5.544491e-03 5.339058e-03 3.204735e-02 8.733622e-03 7.313305e-03 1.616040e-02 3.116620e-02 1.169687e-02 3.429052e-02 2.372324e-02 2.125727e-02 
6 61 3.283151e-02 0 0 1.108069e-02 8.702246e-03 1.122781e-02 8.422318e-03 7.352063e-03 1.038732e-02 1.624636e-02 1.498287e-02 9.651091e-03 1.087616e-02 1.021042e-02 8.154602e-03 4.539415e-03 8.962163e-03 2.751773e-03 8.669419e-03 1.308428e-02 5.284541e-03 5.092591e-03 3.054098e-02 8.317767e-03 6.970100e-03 1.539943e-02 2.968371e-02 1.116796e-02 3.277872e-02 2.257588e-02 2.024250e-02 
7 71 3.178830e-02 0 0 1.070394e-02 8.406361e-03 1.086604e-02 8.155666e-03 7.103066e-03 1.003807e-02 1.570772e-02 1.452452e-02 9.350174e-03 1.055396e-02 9.865108e-03 7.893304e-03 4.384039e-03 8.657409e-03 2.659539e-03 8.379188e-03 1.264477e-02 5.107888e-03 4.941589e-03 2.953635e-02 8.058596e-03 6.737637e-03 1.498367e-02 2.869550e-02 1.079552e-02 3.170806e-02 2.182181e-02 1.957554e-02 
8 81 3.073577e-02 0 0 1.037025e-02 8.136204e-03 1.049039e-02 7.874301e-03 6.879518e-03 9.696839e-03 1.523361e-02 1.404278e-02 9.032959e-03 1.020005e-02 9.518860e-03 7.618447e-03 4.236753e-03 8.353640e-03 2.578968e-03 8.088459e-03 1.221435e-02 4.956783e-03 4.776473e-03 2.851988e-02 7.793483e-03 6.504258e-03 1.448145e-02 2.772598e-02 1.043269e-02 3.061112e-02 2.107550e-02 1.893834e-02 
9 91 3.004609e-02 0 0 1.014313e-02 7.952232e-03 1.023511e-02 7.682367e-03 6.760109e-03 9.463338e-03 1.487285e-02 1.371190e-02 8.832416e-03 9.959306e-03 9.287390e-03 7.440941e-03 4.153517e-03 8.151666e-03 2.518135e-03 7.905436e-03 1.191412e-02 4.847743e-03 4.665593e-03 2.783115e-02 7.611862e-03 6.379462e-03 1.413559e-02 2.704282e-02 1.020254e-02 2.985062e-02 2.055252e-02 1.854720e-02 
10 101 2.932595e-02 0 0 9.950791e-03 7.750135e-03 9.970382e-03 7.483446e-03 6.598036e-03 9.215593e-03 1.447880e-02 1.336981e-02 8.603390e-03 9.699005e-03 9.050738e-03 7.249162e-03 4.048295e-03 7.941488e-03 2.457510e-03 7.702127e-03 1.161233e-02 4.740695e-03 4.547297e-03 2.718698e-02 7.450722e-03 6.215784e-03 1.378341e-02 2.642019e-02 9.937590e-03 2.909718e-02 2.001014e-02 1.821538e-02 
