%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=216610, 2026/02/16 20:57:45.12)
1 11 4.046984e-02 9.989232e-01 8.430365e-02 8.430365e-02 1.393175e-01 1.556390e-01 1.616375e-01 2.129220e-01 2.258182e-01 2.493819e-01 2.551693e-01 2.587598e-01 2.649073e-01 2.649941e-01 2.740682e-01 2.957772e-01 3.130084e-01 3.147910e-01 3.343140e-01 3.373796e-01 3.395671e-01 3.433314e-01 4.011572e-01 4.552398e-01 4.717769e-01 4.959117e-01 6.223620e-01 6.943126e-01 9.087656e-01 9.383495e-01 9.989232e-01 
2 21 3.898169e-02 9.981716e-01 8.410027e-02 8.410027e-02 1.391042e-01 1.557291e-01 1.617114e-01 2.132524e-01 2.255624e-01 2.491328e-01 2.548863e-01 2.582689e-01 2.642783e-01 2.659073e-01 2.736645e-01 2.959049e-01 3.126277e-01 3.144969e-01 3.336571e-01 3.370328e-01 3.389988e-01 3.426915e-01 4.006195e-01 4.544251e-01 4.711244e-01 4.967956e-01 6.217904e-01 6.928878e-01 9.086351e-01 9.362603e-01 9.981716e-01 
3 31 3.785017e-02 9.959869e-01 8.390007e-02 8.390007e-02 1.388321e-01 1.553846e-01 1.616573e-01 2.130413e-01 2.252748e-01 2.491987e-01 2.544889e-01 2.576732e-01 2.644818e-01 2.658721e-01 2.738730e-01 2.955822e-01 3.119602e-01 3.157039e-01 3.328186e-01 3.373107e-01 3.397337e-01 3.422849e-01 4.000333e-01 4.547969e-01 4.708527e-01 4.965571e-01 6.206220e-01 6.912821e-01 9.077473e-01 9.341697e-01 9.959869e-01 
4 41 3.598858e-02 9.959941e-01 8.396449e-02 8.396449e-02 1.386974e-01 1.552380e-01 1.613372e-01 2.127716e-01 2.249190e-01 2.488194e-01 2.539324e-01 2.571725e-01 2.644314e-01 2.652383e-01 2.733741e-01 2.949231e-01 3.113690e-01 3.166945e-01 3.324100e-01 3.383384e-01 3.396646e-01 3.424892e-01 3.992584e-01 4.548648e-01 4.699983e-01 4.965788e-01 6.192979e-01 6.901566e-01 9.069293e-01 9.326352e-01 9.959941e-01 
5 51 3.440888e-02 9.966139e-01 8.380425e-02 8.380425e-02 1.383436e-01 1.550843e-01 1.611198e-01 2.122924e-01 2.243350e-01 2.483592e-01 2.535389e-01 2.571020e-01 2.646930e-01 2.649158e-01 2.731346e-01 2.942361e-01 3.111031e-01 3.162506e-01 3.319407e-01 3.376393e-01 3.393971e-01 3.432502e-01 3.984729e-01 4.555660e-01 4.703183e-01 4.959257e-01 6.178199e-01 6.894556e-01 9.058841e-01 9.313726e-01 9.966139e-01 
6 61 3.283151e-02 9.985859e-01 8.380325e-02 8.380325e-02 1.382101e-01 1.550072e-01 1.609390e-01 2.120882e-01 2.238669e-01 2.481140e-01 2.530753e-01 2.565125e-01 2.640543e-01 2.649318e-01 2.728566e-01 2.939069e-01 3.109293e-01 3.159088e-01 3.311118e-01 3.376512e-01 3.395385e-01 3.430383e-01 3.985551e-01 4.552882e-01 4.701881e-01 4.949453e-01 6.166133e-01 6.876336e-01 9.042466e-01 9.300986e-01 9.985859e-01 
7 71 3.178830e-02 9.977204e-01 8.365129e-02 8.365129e-02 1.378659e-01 1.552505e-01 1.606587e-01 2.116725e-01 2.233659e-01 2.480898e-01 2.530196e-01 2.564598e-01 2.636946e-01 2.643234e-01 2.722469e-01 2.939744e-01 3.103020e-01 3.152490e-01 3.316816e-01 3.370090e-01 3.392833e-01 3.427296e-01 3.977967e-01 4.550441e-01 4.734170e-01 4.942244e-01 6.158477e-01 6.864718e-01 9.028419e-01 9.289837e-01 9.977204e-01 
8 81 3.073577e-02 9.963041e-01 8.385334e-02 8.385334e-02 1.377670e-01 1.551837e-01 1.611715e-01 2.113217e-01 2.236756e-01 2.476374e-01 2.530165e-01 2.559673e-01 2.632455e-01 2.647116e-01 2.716472e-01 2.935963e-01 3.096402e-01 3.152463e-01 3.314442e-01 3.374494e-01 3.388277e-01 3.427025e-01 3.973681e-01 4.545728e-01 4.737166e-01 4.957688e-01 6.162149e-01 6.856650e-01 9.022443e-01 9.276233e-01 9.963041e-01 
9 91 3.004609e-02 9.938816e-01 8.373931e-02 8.373931e-02 1.380958e-01 1.550445e-01 1.611761e-01 2.118440e-01 2.248148e-01 2.474048e-01 2.528663e-01 2.554466e-01 2.631825e-01 2.646215e-01 2.712478e-01 2.935810e-01 3.090439e-01 3.147566e-01 3.311561e-01 3.375087e-01 3.386628e-01 3.423306e-01 3.964986e-01 4.541319e-01 4.729569e-01 4.951588e-01 6.173514e-01 6.840239e-01 9.002067e-01 9.260094e-01 9.938816e-01 
10 101 2.932595e-02 9.926306e-01 8.370692e-02 8.370692e-02 1.378698e-01 1.547558e-01 1.614740e-01 2.114590e-01 2.248181e-01 2.468997e-01 2.533250e-01 2.550153e-01 2.626762e-01 2.642572e-01 2.707360e-01 2.930337e-01 3.085285e-01 3.141122e-01 3.304438e-01 3.377731e-01 3.393860e-01 3.416702e-01 3.959920e-01 4.535637e-01 4.726128e-01 4.938837e-01 6.210351e-01 6.823260e-01 9.005750e-01 9.273864e-01 9.926306e-01 
