%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=212766, 2025/11/26 11:37:17.68)
1 9 3.910281e-02 0 0 1.350427e-02 1.093877e-02 1.341767e-02 1.016569e-02 9.610886e-03 1.223195e-02 1.925343e-02 1.810834e-02 1.170800e-02 1.292918e-02 1.217609e-02 9.803368e-03 5.415638e-03 1.069090e-02 3.379637e-03 1.094170e-02 1.563854e-02 6.372737e-03 6.622948e-03 3.648916e-02 9.902028e-03 8.443680e-03 1.871152e-02 3.516206e-02 1.320615e-02 3.902056e-02 2.709003e-02 2.429225e-02 
2 17 3.746566e-02 0 0 1.291451e-02 1.046351e-02 1.284043e-02 9.729063e-03 9.213948e-03 1.170329e-02 1.843368e-02 1.734463e-02 1.120827e-02 1.238418e-02 1.169189e-02 9.412730e-03 5.186185e-03 1.022600e-02 3.236808e-03 1.046744e-02 1.499750e-02 6.097938e-03 6.347900e-03 3.497385e-02 9.471224e-03 8.079553e-03 1.790710e-02 3.368419e-02 1.264502e-02 3.739423e-02 2.592256e-02 2.324865e-02 
3 25 3.559610e-02 0 0 1.224827e-02 9.945106e-03 1.218053e-02 9.262366e-03 8.743382e-03 1.110817e-02 1.749012e-02 1.645534e-02 1.063474e-02 1.174818e-02 1.110475e-02 8.935740e-03 4.929355e-03 9.720382e-03 3.072014e-03 9.926447e-03 1.422565e-02 5.794308e-03 6.023210e-03 3.320652e-02 8.985015e-03 7.668663e-03 1.701346e-02 3.199155e-02 1.200678e-02 3.546646e-02 2.457949e-02 2.206670e-02 
4 33 3.402504e-02 0 0 1.169047e-02 9.495993e-03 1.162075e-02 8.865469e-03 8.345611e-03 1.060376e-02 1.670337e-02 1.569490e-02 1.019986e-02 1.121222e-02 1.062157e-02 8.537900e-03 4.703849e-03 9.285208e-03 2.930764e-03 9.521222e-03 1.358213e-02 5.528097e-03 5.758040e-03 3.170510e-02 8.577972e-03 7.338624e-03 1.626111e-02 3.053474e-02 1.146318e-02 3.383692e-02 2.344527e-02 2.106180e-02 
5 41 3.294344e-02 0 0 1.129597e-02 9.198356e-03 1.123458e-02 8.585300e-03 8.071757e-03 1.024838e-02 1.615154e-02 1.518061e-02 9.864919e-03 1.084518e-02 1.026980e-02 8.257743e-03 4.560652e-03 8.983877e-03 2.840791e-03 9.276667e-03 1.312511e-02 5.347791e-03 5.565118e-03 3.068459e-02 8.305862e-03 7.105262e-03 1.572602e-02 2.951924e-02 1.108501e-02 3.270177e-02 2.267154e-02 2.036682e-02 
6 49 3.170066e-02 0 0 1.085922e-02 8.836291e-03 1.079554e-02 8.256133e-03 7.759255e-03 9.868919e-03 1.552014e-02 1.458919e-02 9.515189e-03 1.041301e-02 9.874009e-03 7.930728e-03 4.382886e-03 8.629812e-03 2.732080e-03 8.941641e-03 1.260312e-02 5.135483e-03 5.363059e-03 2.949060e-02 8.009869e-03 6.830580e-03 1.513792e-02 2.836023e-02 1.065264e-02 3.141554e-02 2.178042e-02 1.957859e-02 
7 57 3.041409e-02 0 0 1.039979e-02 8.516027e-03 1.034695e-02 7.944045e-03 7.434553e-03 9.455718e-03 1.487531e-02 1.398701e-02 9.124848e-03 9.972112e-03 9.465489e-03 7.598139e-03 4.197702e-03 8.265849e-03 2.619488e-03 8.577555e-03 1.207789e-02 4.918156e-03 5.151880e-03 2.827031e-02 7.679806e-03 6.542762e-03 1.450299e-02 2.717336e-02 1.021437e-02 3.008233e-02 2.087320e-02 1.880596e-02 
8 65 2.919213e-02 0 0 9.976751e-03 8.181145e-03 9.914702e-03 7.643204e-03 7.126095e-03 9.101297e-03 1.425742e-02 1.340325e-02 8.744852e-03 9.560318e-03 9.081165e-03 7.279019e-03 4.020504e-03 7.927914e-03 2.513708e-03 8.224123e-03 1.157511e-02 4.719542e-03 4.936328e-03 2.709095e-02 7.363145e-03 6.272434e-03 1.389403e-02 2.604815e-02 9.787835e-03 2.883707e-02 2.000301e-02 1.802969e-02 
9 73 2.816639e-02 0 0 9.621577e-03 7.887724e-03 9.550056e-03 7.393482e-03 6.869236e-03 8.782451e-03 1.373853e-02 1.292228e-02 8.421255e-03 9.211422e-03 8.747799e-03 7.019699e-03 3.900613e-03 7.637990e-03 2.422554e-03 7.930700e-03 1.114661e-02 4.547596e-03 4.765643e-03 2.612503e-02 7.104236e-03 6.045786e-03 1.338428e-02 2.509400e-02 9.437841e-03 2.777137e-02 1.926074e-02 1.737095e-02 
10 81 2.756533e-02 0 0 9.419969e-03 7.715388e-03 9.348201e-03 7.283959e-03 6.710165e-03 8.594181e-03 1.341803e-02 1.265439e-02 8.236157e-03 8.998233e-03 8.543886e-03 6.857732e-03 3.813584e-03 7.473652e-03 2.366973e-03 7.752340e-03 1.089338e-02 4.444221e-03 4.657739e-03 2.552771e-02 6.949066e-03 5.911411e-03 1.312227e-02 2.453300e-02 9.229658e-03 2.715194e-02 1.881804e-02 1.698049e-02 
