%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=212766, 2025/11/26 11:37:17.68)
1 9 3.910281e-02 9.978972e-01 8.642605e-02 8.642605e-02 1.384969e-01 1.629735e-01 1.693718e-01 2.159311e-01 2.457363e-01 2.506672e-01 2.532377e-01 2.599870e-01 2.733835e-01 2.797396e-01 2.798227e-01 2.993862e-01 3.113731e-01 3.128456e-01 3.306460e-01 3.377357e-01 3.431597e-01 3.453632e-01 3.999334e-01 4.631128e-01 4.785217e-01 4.923817e-01 6.212408e-01 6.927925e-01 8.992221e-01 9.331610e-01 9.978972e-01 
2 17 3.746566e-02 9.981995e-01 8.638593e-02 8.638593e-02 1.384168e-01 1.627485e-01 1.694196e-01 2.156399e-01 2.457954e-01 2.511388e-01 2.528076e-01 2.597233e-01 2.729365e-01 2.792836e-01 2.793901e-01 2.991126e-01 3.120588e-01 3.123919e-01 3.305228e-01 3.374991e-01 3.427656e-01 3.447385e-01 4.003069e-01 4.629507e-01 4.779694e-01 4.920248e-01 6.205305e-01 6.919134e-01 8.989406e-01 9.335343e-01 9.981995e-01 
3 25 3.559610e-02 9.964897e-01 8.629108e-02 8.629108e-02 1.384569e-01 1.627588e-01 1.691824e-01 2.154092e-01 2.454384e-01 2.508896e-01 2.524283e-01 2.602414e-01 2.730586e-01 2.787826e-01 2.794779e-01 2.987047e-01 3.116103e-01 3.124343e-01 3.300345e-01 3.373214e-01 3.422294e-01 3.441123e-01 3.996457e-01 4.622498e-01 4.780092e-01 4.913577e-01 6.199107e-01 6.905238e-01 8.986341e-01 9.328883e-01 9.964897e-01 
4 33 3.402504e-02 9.946235e-01 8.612352e-02 8.612352e-02 1.382217e-01 1.624508e-01 1.691755e-01 2.156081e-01 2.450769e-01 2.506637e-01 2.522029e-01 2.603941e-01 2.727268e-01 2.789366e-01 2.800881e-01 2.998518e-01 3.112117e-01 3.126182e-01 3.295264e-01 3.369524e-01 3.416298e-01 3.436214e-01 3.991829e-01 4.612615e-01 4.779548e-01 4.909178e-01 6.190070e-01 6.890752e-01 8.972581e-01 9.318833e-01 9.946235e-01 
5 41 3.294344e-02 9.928121e-01 8.620991e-02 8.620991e-02 1.384120e-01 1.622976e-01 1.688617e-01 2.155544e-01 2.447646e-01 2.502636e-01 2.523065e-01 2.603986e-01 2.726363e-01 2.786938e-01 2.820189e-01 2.996400e-01 3.105676e-01 3.123110e-01 3.291911e-01 3.365405e-01 3.411624e-01 3.429350e-01 3.984125e-01 4.607831e-01 4.774141e-01 4.902951e-01 6.182499e-01 6.882039e-01 8.957740e-01 9.316400e-01 9.928121e-01 
6 49 3.170066e-02 9.911487e-01 8.614825e-02 8.614825e-02 1.382219e-01 1.619642e-01 1.690584e-01 2.153299e-01 2.444449e-01 2.497873e-01 2.527199e-01 2.601783e-01 2.721460e-01 2.782914e-01 2.823302e-01 3.005357e-01 3.104652e-01 3.123713e-01 3.284659e-01 3.361492e-01 3.406309e-01 3.426744e-01 3.975612e-01 4.602436e-01 4.775017e-01 4.896491e-01 6.176163e-01 6.870739e-01 8.943292e-01 9.305211e-01 9.911487e-01 
7 57 3.041409e-02 9.892176e-01 8.608460e-02 8.608460e-02 1.379797e-01 1.616743e-01 1.692376e-01 2.149888e-01 2.440912e-01 2.494100e-01 2.524071e-01 2.607624e-01 2.716726e-01 2.795194e-01 2.824518e-01 3.004140e-01 3.104538e-01 3.118285e-01 3.278196e-01 3.358719e-01 3.403523e-01 3.420985e-01 3.971120e-01 4.599162e-01 4.768448e-01 4.891482e-01 6.183127e-01 6.863379e-01 8.931471e-01 9.298007e-01 9.892176e-01 
8 65 2.919213e-02 9.879680e-01 8.605254e-02 8.605254e-02 1.376857e-01 1.616279e-01 1.689494e-01 2.147218e-01 2.437257e-01 2.489631e-01 2.519626e-01 2.612429e-01 2.715547e-01 2.796549e-01 2.823894e-01 2.999826e-01 3.102336e-01 3.127945e-01 3.274285e-01 3.353185e-01 3.397676e-01 3.419273e-01 3.965147e-01 4.591794e-01 4.759199e-01 4.884837e-01 6.175949e-01 6.852849e-01 8.919011e-01 9.284028e-01 9.879680e-01 
9 73 2.816639e-02 9.861578e-01 8.594249e-02 8.594249e-02 1.384228e-01 1.614049e-01 1.690432e-01 2.144842e-01 2.434469e-01 2.486207e-01 2.521569e-01 2.616104e-01 2.712273e-01 2.796693e-01 2.821243e-01 2.994660e-01 3.096198e-01 3.128759e-01 3.269776e-01 3.350130e-01 3.391977e-01 3.418657e-01 3.957434e-01 4.588476e-01 4.751759e-01 4.878322e-01 6.167174e-01 6.838931e-01 8.905834e-01 9.277985e-01 9.861578e-01 
10 81 2.756533e-02 9.851425e-01 8.580180e-02 8.580180e-02 1.382791e-01 1.611834e-01 1.688095e-01 2.142432e-01 2.429814e-01 2.481617e-01 2.518092e-01 2.626591e-01 2.712371e-01 2.792340e-01 2.825187e-01 2.993284e-01 3.090127e-01 3.128248e-01 3.263801e-01 3.345811e-01 3.388687e-01 3.426751e-01 3.951575e-01 4.590423e-01 4.761593e-01 4.868756e-01 6.159998e-01 6.827627e-01 8.896152e-01 9.264736e-01 9.851425e-01 
