%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=212766, 2025/11/26 11:37:17.68)
1 9 3.910281e-02 1.154625e+01  1.441595367818482032e+02  1.441595367818482032e+02  1.730305887881772264e+02  2.795281735518087203e+02
2 17 3.746566e-02 1.155512e+01  1.303285071922859402e+02  1.303285071922859402e+02  1.625298798506002242e+02  3.154252186964231441e+02
3 25 3.559610e-02 1.154800e+01  1.303285071922859402e+02  1.428291217714419759e+02  1.558908800625140998e+02  2.416979640122205524e+02
4 33 3.402504e-02 1.154880e+01  1.255988631284596408e+02  1.255988631284596408e+02  1.638275797013620831e+02  2.023588386672280421e+02
5 41 3.294344e-02 1.151622e+01  1.255988631284596408e+02  1.318185102125462151e+02  1.582046504599783532e+02  2.273807300833042007e+02
6 49 3.170066e-02 1.150515e+01  1.255988631284596408e+02  1.351255202764289720e+02  1.635146099071175172e+02  3.713832107100889175e+02
7 57 3.041409e-02 1.149123e+01  1.255988631284596408e+02  1.421335716019632684e+02  1.924083608004695520e+02  2.962478966083014029e+02
8 65 2.919213e-02 1.148099e+01  1.255988631284596408e+02  1.319572273639866467e+02  1.775162831814639333e+02  2.385227418193908591e+02
9 73 2.816639e-02 1.147462e+01  1.209683226847571973e+02  1.209683226847571973e+02  1.439806023268751574e+02  1.777283187246373473e+02
10 81 2.756533e-02 1.148161e+01  1.130454804495117571e+02  1.130454804495117571e+02  1.537800323303843584e+02  1.865193617920384952e+02
11 89 2.671763e-02 1.151154e+01  1.120014556428683079e+02  1.120014556428683079e+02  1.387507481752224408e+02  2.126849941220308438e+02
12 97 2.639546e-02 1.149609e+01  1.120014556428683079e+02  1.138997720477622551e+02  1.420573545761518801e+02  1.934903804126116142e+02
13 105 2.581865e-02 1.148820e+01  1.042827345029084825e+02  1.042827345029084825e+02  1.335416179458608781e+02  1.663366159085045695e+02
14 113 2.540862e-02 1.150250e+01  1.042827345029084825e+02  1.151214498808097915e+02  1.355563692469780221e+02  1.597617568718263215e+02
15 121 2.465918e-02 1.149920e+01  1.042827345029084825e+02  1.123033899933061548e+02  1.283594287713481208e+02  1.423120969673940692e+02
16 129 2.415607e-02 1.148786e+01  1.042827345029084825e+02  1.136258061500544869e+02  1.189889825437677473e+02  3.040998488543353915e+02
