%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=212766, 2025/11/26 11:37:17.68)
1 9  1.441595367818482032e+02 0 0 1.253626e-01 9.483416e-02 9.768085e-02 8.538392e-02 7.715349e-02 1.293162e-01 1.751731e-01 1.292311e-01 1.251998e-01 1.044373e-01 1.069299e-01 7.357835e-02 4.603247e-02 1.116643e-01 3.441873e-02 8.945703e-02 1.456967e-01 5.745470e-02 5.897334e-02 3.373435e-01 8.794664e-02 6.905317e-02 1.607197e-01 3.406711e-01 1.132595e-01 3.568685e-01 2.480850e-01 2.231655e-01 
2 17  1.303285071922859402e+02 0 0 1.152129e-01 1.068428e-01 1.273159e-01 7.925874e-02 6.294988e-02 1.155510e-01 1.431304e-01 1.378418e-01 1.164985e-01 1.252487e-01 1.327922e-01 6.820937e-02 4.152007e-02 1.059392e-01 2.825762e-02 9.991135e-02 1.176140e-01 5.628292e-02 6.204224e-02 2.619126e-01 8.539420e-02 6.870963e-02 1.578053e-01 3.586960e-01 1.147639e-01 4.019498e-01 2.708124e-01 2.236481e-01 
3 25  1.428291217714419759e+02 0 0 1.147021e-01 8.951832e-02 1.140258e-01 6.311456e-02 7.882811e-02 1.214434e-01 1.526756e-01 1.734401e-01 1.134576e-01 1.151126e-01 1.148348e-01 7.124270e-02 5.530664e-02 9.347065e-02 2.618171e-02 8.895349e-02 1.270574e-01 4.736600e-02 6.764966e-02 2.580514e-01 8.130487e-02 6.696089e-02 1.959173e-01 3.126895e-01 1.076495e-01 3.814501e-01 2.472150e-01 2.316653e-01 
4 33  1.255988631284596408e+02 0 0 1.316881e-01 9.786894e-02 1.193881e-01 9.574343e-02 7.001630e-02 1.106484e-01 1.445668e-01 1.568641e-01 1.375931e-01 1.210508e-01 1.123513e-01 7.683009e-02 5.206373e-02 9.176890e-02 2.985491e-02 1.132511e-01 1.387086e-01 5.494106e-02 5.484139e-02 2.729946e-01 7.541351e-02 5.616677e-02 1.831474e-01 3.382452e-01 1.159779e-01 3.716086e-01 2.526934e-01 2.449192e-01 
5 41  1.318185102125462151e+02 0 0 1.245827e-01 1.019826e-01 1.254555e-01 8.681096e-02 7.259660e-02 1.122415e-01 1.707717e-01 1.375269e-01 1.239952e-01 1.179303e-01 1.188020e-01 7.512892e-02 5.731463e-02 1.023609e-01 2.634477e-02 1.304156e-01 1.428429e-01 6.142942e-02 5.670761e-02 2.618302e-01 7.962212e-02 6.934676e-02 1.783992e-01 3.576078e-01 1.263720e-01 3.728803e-01 2.478444e-01 2.399187e-01 
6 49  1.351255202764289720e+02 0 0 1.293238e-01 9.608611e-02 1.152646e-01 9.351620e-02 6.961791e-02 1.145894e-01 1.782292e-01 1.615068e-01 1.368088e-01 1.140112e-01 1.085142e-01 7.245320e-02 5.327687e-02 9.288090e-02 2.419001e-02 1.244073e-01 1.319435e-01 5.716702e-02 4.738356e-02 2.746913e-01 5.882641e-02 6.845104e-02 1.494194e-01 3.476205e-01 1.258896e-01 3.329336e-01 2.555692e-01 2.301316e-01 
7 57  1.421335716019632684e+02 0 0 1.321404e-01 8.812640e-02 1.161676e-01 1.075011e-01 7.985447e-02 1.299302e-01 1.936181e-01 1.677576e-01 1.228918e-01 1.128142e-01 1.135355e-01 7.019827e-02 5.509770e-02 1.054626e-01 2.682958e-02 1.274727e-01 1.394053e-01 5.628184e-02 6.014843e-02 2.554532e-01 6.792048e-02 7.666348e-02 1.805673e-01 3.678860e-01 1.256567e-01 3.677244e-01 2.341481e-01 2.354190e-01 
8 65  1.319572273639866467e+02 0 0 1.178667e-01 1.134544e-01 1.166842e-01 1.175306e-01 7.775598e-02 1.355463e-01 1.664971e-01 1.503786e-01 1.279193e-01 1.203466e-01 1.317189e-01 7.855895e-02 5.115853e-02 9.255438e-02 2.433983e-02 1.101194e-01 1.427955e-01 6.245577e-02 6.061394e-02 2.708656e-01 6.976169e-02 7.181202e-02 1.852835e-01 3.607288e-01 1.156756e-01 3.468064e-01 2.331444e-01 1.944774e-01 
9 73  1.209683226847571973e+02 0 0 1.268884e-01 1.167781e-01 1.076376e-01 1.195560e-01 9.112441e-02 1.423819e-01 1.801401e-01 1.266095e-01 1.231461e-01 1.270121e-01 1.256310e-01 8.745532e-02 6.131837e-02 8.996686e-02 2.385824e-02 9.653631e-02 1.365681e-01 5.847455e-02 6.072092e-02 2.491650e-01 7.620646e-02 6.189881e-02 1.730578e-01 3.432773e-01 1.008606e-01 3.863868e-01 2.267310e-01 2.037176e-01 
10 81  1.130454804495117571e+02 0 0 1.344265e-01 1.074680e-01 9.792030e-02 1.240071e-01 8.282113e-02 1.420034e-01 1.764568e-01 1.366533e-01 1.092899e-01 1.218723e-01 1.237973e-01 8.262859e-02 4.841242e-02 7.864018e-02 2.692036e-02 1.144597e-01 1.237399e-01 5.803791e-02 6.925056e-02 2.511555e-01 7.473712e-02 5.788695e-02 1.581991e-01 3.673316e-01 1.172608e-01 3.473375e-01 2.453757e-01 1.980622e-01 
11 89  1.120014556428683079e+02 0 0 1.411513e-01 1.134524e-01 1.055491e-01 1.096530e-01 8.229107e-02 1.365271e-01 1.920221e-01 1.265807e-01 1.240404e-01 1.168678e-01 1.231496e-01 6.984503e-02 4.210949e-02 9.044810e-02 2.885237e-02 1.074291e-01 1.257403e-01 6.478591e-02 6.917815e-02 2.631706e-01 6.291606e-02 6.630832e-02 1.826855e-01 3.233782e-01 1.081223e-01 4.044790e-01 2.311746e-01 2.212304e-01 
12 97  1.138997720477622551e+02 0 0 1.432856e-01 1.090398e-01 1.033815e-01 1.104727e-01 9.129422e-02 1.275135e-01 2.168028e-01 1.274223e-01 1.162906e-01 1.086583e-01 1.322698e-01 6.436558e-02 4.865248e-02 9.069723e-02 3.240720e-02 1.034094e-01 1.154928e-01 6.639742e-02 7.511501e-02 2.759417e-01 5.604441e-02 7.216647e-02 1.877813e-01 3.683201e-01 1.027481e-01 3.965728e-01 2.334421e-01 2.366099e-01 
13 105  1.042827345029084825e+02 0 0 1.331921e-01 1.211621e-01 1.104515e-01 1.124141e-01 8.887164e-02 1.157430e-01 2.157184e-01 1.239657e-01 1.151996e-01 1.046510e-01 1.249223e-01 5.875042e-02 4.667113e-02 8.300033e-02 2.800543e-02 9.919958e-02 1.179850e-01 6.291890e-02 6.528537e-02 3.209189e-01 6.852093e-02 7.420870e-02 1.799100e-01 3.392415e-01 1.208441e-01 3.724424e-01 2.498997e-01 2.066874e-01 
14 113  1.151214498808097915e+02 0 0 1.197039e-01 1.294681e-01 1.234855e-01 1.044544e-01 9.114337e-02 1.197444e-01 1.990347e-01 1.242994e-01 1.097289e-01 1.050064e-01 1.311311e-01 6.820777e-02 4.748586e-02 8.531003e-02 2.710797e-02 9.682939e-02 1.257420e-01 6.598841e-02 7.411573e-02 2.662529e-01 6.087123e-02 7.345328e-02 1.693235e-01 3.358380e-01 1.142897e-01 3.367944e-01 2.264994e-01 2.224629e-01 
15 121  1.123033899933061548e+02 0 0 1.401458e-01 1.353801e-01 1.065307e-01 1.097415e-01 8.285783e-02 1.217094e-01 2.031664e-01 1.432579e-01 1.113928e-01 1.130343e-01 1.278263e-01 5.725645e-02 4.656583e-02 8.724825e-02 2.950938e-02 1.099422e-01 1.165150e-01 6.702102e-02 7.481986e-02 2.452980e-01 5.496731e-02 6.859940e-02 1.916409e-01 3.347333e-01 1.184057e-01 3.571365e-01 2.569899e-01 2.160087e-01 
16 129  1.136258061500544869e+02 0 0 1.402832e-01 1.173743e-01 1.036818e-01 1.044882e-01 8.757041e-02 1.086797e-01 2.087658e-01 1.324490e-01 1.008347e-01 1.154417e-01 1.253521e-01 6.739917e-02 4.522707e-02 8.370327e-02 2.399646e-02 1.113405e-01 1.278598e-01 6.463294e-02 7.545777e-02 2.431018e-01 5.359761e-02 6.464061e-02 1.767271e-01 3.896603e-01 1.128285e-01 4.045016e-01 2.564878e-01 2.161088e-01 
17 137  9.312312996958672784e+01 0 0 1.226771e-01 1.255733e-01 1.090500e-01 1.087334e-01 8.585936e-02 1.083230e-01 1.805152e-01 1.262849e-01 1.036514e-01 1.078465e-01 1.378811e-01 6.068457e-02 4.941397e-02 8.826000e-02 2.327851e-02 9.413878e-02 1.274649e-01 7.474474e-02 7.458131e-02 3.309590e-01 6.887104e-02 6.600482e-02 1.668398e-01 3.718136e-01 1.283172e-01 3.327775e-01 2.365434e-01 1.769608e-01 
