%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=209166, 2026/02/11 10:36:6.69)
1 11 5.698321e-02 1.001419e+00 5.701633e-02 5.701633e-02 9.062814e-02 1.027612e-01 1.276096e-01 1.415722e-01 1.631461e-01 1.640491e-01 1.677160e-01 1.790000e-01 1.848134e-01 1.881915e-01 1.977029e-01 1.977522e-01 2.053371e-01 2.072397e-01 2.147465e-01 2.170777e-01 2.235813e-01 2.283265e-01 2.539320e-01 3.009169e-01 3.030007e-01 3.244432e-01 4.081499e-01 4.535543e-01 5.842056e-01 6.180801e-01 6.548995e-01 9.981533e-01 1.001419e+00 
2 21 5.465051e-02 1.000617e+00 5.704936e-02 5.704936e-02 9.061629e-02 1.026613e-01 1.274516e-01 1.413037e-01 1.630276e-01 1.638532e-01 1.677244e-01 1.786966e-01 1.844843e-01 1.880361e-01 1.974044e-01 1.976207e-01 2.055664e-01 2.071902e-01 2.147191e-01 2.167216e-01 2.237270e-01 2.279475e-01 2.536855e-01 3.005025e-01 3.028069e-01 3.240010e-01 4.088613e-01 4.533415e-01 5.838084e-01 6.171824e-01 6.554258e-01 9.969728e-01 1.000617e+00 
3 31 5.220900e-02 9.988749e-01 5.694733e-02 5.694733e-02 9.059130e-02 1.024457e-01 1.273515e-01 1.410541e-01 1.634775e-01 1.636278e-01 1.678364e-01 1.784425e-01 1.844594e-01 1.876413e-01 1.971423e-01 1.975729e-01 2.061019e-01 2.068125e-01 2.146240e-01 2.163167e-01 2.239206e-01 2.276086e-01 2.534030e-01 3.006793e-01 3.021301e-01 3.241562e-01 4.086835e-01 4.527480e-01 5.829120e-01 6.162975e-01 6.550607e-01 9.950924e-01 9.988749e-01 
4 41 4.981727e-02 9.983638e-01 5.694606e-02 5.694606e-02 9.043018e-02 1.025676e-01 1.271352e-01 1.412324e-01 1.631756e-01 1.635230e-01 1.675999e-01 1.782922e-01 1.840971e-01 1.879467e-01 1.970655e-01 1.977213e-01 2.059340e-01 2.064577e-01 2.144423e-01 2.158032e-01 2.238657e-01 2.275416e-01 2.530659e-01 3.003663e-01 3.017687e-01 3.241289e-01 4.086883e-01 4.520661e-01 5.829094e-01 6.155167e-01 6.536776e-01 9.928820e-01 9.983638e-01 
5 51 4.818157e-02 9.969615e-01 5.683338e-02 5.683338e-02 9.026049e-02 1.024930e-01 1.270945e-01 1.411764e-01 1.628508e-01 1.634656e-01 1.678465e-01 1.782299e-01 1.840984e-01 1.878318e-01 1.970548e-01 1.976055e-01 2.058220e-01 2.064265e-01 2.141733e-01 2.157500e-01 2.235794e-01 2.278668e-01 2.526046e-01 3.002158e-01 3.011990e-01 3.243075e-01 4.083274e-01 4.513395e-01 5.821387e-01 6.144303e-01 6.524054e-01 9.936024e-01 9.969615e-01 
6 61 4.695168e-02 9.962315e-01 5.675688e-02 5.675688e-02 9.021850e-02 1.022748e-01 1.270772e-01 1.415067e-01 1.629719e-01 1.631041e-01 1.676772e-01 1.781888e-01 1.843999e-01 1.877391e-01 1.967208e-01 1.974087e-01 2.058571e-01 2.062087e-01 2.141095e-01 2.152700e-01 2.231999e-01 2.278241e-01 2.522548e-01 2.996071e-01 3.011874e-01 3.245252e-01 4.078048e-01 4.506237e-01 5.812099e-01 6.132575e-01 6.513683e-01 9.929856e-01 9.962315e-01 
7 71 4.606677e-02 9.953942e-01 5.667104e-02 5.667104e-02 9.017522e-02 1.021288e-01 1.269283e-01 1.414951e-01 1.626918e-01 1.634033e-01 1.677034e-01 1.777961e-01 1.842997e-01 1.877057e-01 1.965749e-01 1.971046e-01 2.058813e-01 2.062407e-01 2.138007e-01 2.151595e-01 2.227747e-01 2.277593e-01 2.522155e-01 2.990228e-01 3.007864e-01 3.247508e-01 4.083870e-01 4.499044e-01 5.804526e-01 6.128632e-01 6.504322e-01 9.915060e-01 9.953942e-01 
8 81 4.497303e-02 9.961944e-01 5.661184e-02 5.661184e-02 9.002320e-02 1.019874e-01 1.268321e-01 1.414387e-01 1.626345e-01 1.634451e-01 1.676130e-01 1.775077e-01 1.845979e-01 1.873969e-01 1.963993e-01 1.968341e-01 2.054574e-01 2.067742e-01 2.141281e-01 2.153153e-01 2.225549e-01 2.276967e-01 2.518920e-01 2.987669e-01 3.005422e-01 3.251419e-01 4.076401e-01 4.489345e-01 5.795493e-01 6.117317e-01 6.496800e-01 9.928981e-01 9.961944e-01 
9 91 4.323002e-02 1.000212e+00 5.649263e-02 5.649263e-02 8.994584e-02 1.018274e-01 1.266685e-01 1.411977e-01 1.625243e-01 1.633596e-01 1.676825e-01 1.771670e-01 1.845004e-01 1.873787e-01 1.961164e-01 1.966751e-01 2.054045e-01 2.067914e-01 2.138750e-01 2.152019e-01 2.221865e-01 2.276883e-01 2.513807e-01 2.982538e-01 2.999925e-01 3.248884e-01 4.069815e-01 4.479799e-01 5.788775e-01 6.111702e-01 6.491266e-01 9.913900e-01 1.000212e+00 
10 101 4.122818e-02 1.002671e+00 5.645065e-02 5.645065e-02 8.983050e-02 1.016389e-01 1.265293e-01 1.409694e-01 1.621601e-01 1.631246e-01 1.676545e-01 1.768610e-01 1.843475e-01 1.872774e-01 1.958034e-01 1.966724e-01 2.051400e-01 2.064999e-01 2.138042e-01 2.151421e-01 2.220036e-01 2.278200e-01 2.510012e-01 2.979531e-01 2.997864e-01 3.248574e-01 4.060799e-01 4.473752e-01 5.791573e-01 6.098291e-01 6.480063e-01 9.906577e-01 1.002671e+00 
