%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=209166, 2026/02/11 10:36:6.69)
1 11 5.698321e-02 0 0 1.301126e-02 1.126676e-02 1.236978e-02 9.303168e-03 1.053120e-02 1.180990e-02 1.848753e-02 1.726566e-02 1.072413e-02 1.223704e-02 1.170077e-02 9.349824e-03 5.164310e-03 1.020014e-02 3.249066e-03 1.126820e-02 1.446921e-02 5.858092e-03 7.272561e-03 3.522035e-02 9.554286e-03 8.068942e-03 1.714720e-02 3.329020e-02 1.273815e-02 3.731805e-02 2.584482e-02 2.325720e-02 5.698880e-02 5.695234e-02 
2 21 5.465051e-02 0 0 1.245804e-02 1.079971e-02 1.184381e-02 8.911970e-03 1.008232e-02 1.132598e-02 1.770737e-02 1.654761e-02 1.027744e-02 1.173311e-02 1.123679e-02 8.965491e-03 4.952706e-03 9.766579e-03 3.118222e-03 1.078945e-02 1.386226e-02 5.613686e-03 6.966668e-03 3.372868e-02 9.160998e-03 7.724210e-03 1.642325e-02 3.190646e-02 1.222254e-02 3.581905e-02 2.477516e-02 2.234339e-02 5.465098e-02 5.451666e-02 
3 31 5.220900e-02 0 0 1.188405e-02 1.030832e-02 1.129246e-02 8.541088e-03 9.633168e-03 1.079652e-02 1.692049e-02 1.577319e-02 9.797169e-03 1.119940e-02 1.077089e-02 8.555685e-03 4.730555e-03 9.318857e-03 2.973791e-03 1.030104e-02 1.322879e-02 5.352064e-03 6.650272e-03 3.217431e-02 8.754452e-03 7.366734e-03 1.569962e-02 3.043556e-02 1.168638e-02 3.419921e-02 2.363655e-02 2.133717e-02 5.212153e-02 5.197974e-02 
4 41 4.981727e-02 0 0 1.133455e-02 9.821346e-03 1.074986e-02 8.148045e-03 9.175448e-03 1.029138e-02 1.614498e-02 1.503107e-02 9.364614e-03 1.067843e-02 1.026053e-02 8.145817e-03 4.506206e-03 8.886773e-03 2.837830e-03 9.847518e-03 1.260651e-02 5.112455e-03 6.335635e-03 3.065850e-02 8.342372e-03 7.039230e-03 1.496469e-02 2.904395e-02 1.114731e-02 3.256332e-02 2.251845e-02 2.036089e-02 4.970976e-02 4.948686e-02 
5 51 4.818157e-02 0 0 1.096971e-02 9.499702e-03 1.039541e-02 7.867448e-03 8.876010e-03 9.945218e-03 1.562372e-02 1.450674e-02 9.051764e-03 1.031357e-02 9.918753e-03 7.871915e-03 4.350511e-03 8.596952e-03 2.739236e-03 9.517541e-03 1.216979e-02 4.940825e-03 6.126575e-03 2.960068e-02 8.088195e-03 6.805149e-03 1.446907e-02 2.805254e-02 1.077451e-02 3.143230e-02 2.174465e-02 1.967323e-02 4.798749e-02 4.791903e-02 
6 61 4.695168e-02 0 0 1.068062e-02 9.239714e-03 1.010762e-02 7.659443e-03 8.665525e-03 9.685182e-03 1.523373e-02 1.413382e-02 8.819119e-03 1.004615e-02 9.660415e-03 7.660522e-03 4.238486e-03 8.375880e-03 2.665720e-03 9.268735e-03 1.184263e-02 4.804691e-03 5.970750e-03 2.879124e-02 7.884565e-03 6.649201e-03 1.407399e-02 2.729163e-02 1.048424e-02 3.058090e-02 2.115545e-02 1.914630e-02 4.668742e-02 4.670772e-02 
7 71 4.606677e-02 0 0 1.047043e-02 9.058240e-03 9.906834e-03 7.502899e-03 8.502917e-03 9.488913e-03 1.495299e-02 1.385134e-02 8.650733e-03 9.849871e-03 9.492365e-03 7.531873e-03 4.158600e-03 8.201291e-03 2.611469e-03 9.080735e-03 1.161797e-02 4.707802e-03 5.853624e-03 2.822794e-02 7.737555e-03 6.527063e-03 1.377932e-02 2.674389e-02 1.026898e-02 2.996211e-02 2.072221e-02 1.881257e-02 4.575550e-02 4.577297e-02 
8 81 4.497303e-02 0 0 1.021040e-02 8.837677e-03 9.671898e-03 7.323979e-03 8.320926e-03 9.248317e-03 1.461345e-02 1.351611e-02 8.429040e-03 9.637658e-03 9.286567e-03 7.355564e-03 4.054139e-03 7.995338e-03 2.547019e-03 8.853190e-03 1.132833e-02 4.589375e-03 5.711383e-03 2.750687e-02 7.555630e-03 6.369810e-03 1.343583e-02 2.606804e-02 1.001645e-02 2.921691e-02 2.018616e-02 1.833248e-02 4.470708e-02 4.474627e-02 
9 91 4.323002e-02 0 0 9.807093e-03 8.480913e-03 9.287983e-03 7.042584e-03 8.001713e-03 8.887036e-03 1.403453e-02 1.296813e-02 8.094797e-03 9.253279e-03 8.925524e-03 7.064568e-03 3.894200e-03 7.672481e-03 2.443202e-03 8.510792e-03 1.086691e-02 4.404509e-03 5.483218e-03 2.641683e-02 7.263497e-03 6.113739e-03 1.289337e-02 2.502965e-02 9.620375e-03 2.806029e-02 1.936287e-02 1.759346e-02 4.292724e-02 4.316703e-02 
10 101 4.122818e-02 0 0 9.360538e-03 8.074695e-03 8.845171e-03 6.701634e-03 7.626178e-03 8.468132e-03 1.338236e-02 1.235869e-02 7.719432e-03 8.830424e-03 8.497862e-03 6.726899e-03 3.709099e-03 7.305012e-03 2.328505e-03 8.119839e-03 1.034877e-02 4.193065e-03 5.223767e-03 2.514012e-02 6.925114e-03 5.821885e-03 1.228400e-02 2.388251e-02 9.162015e-03 2.671492e-02 1.844126e-02 1.674184e-02 4.093461e-02 4.124258e-02 
