%  columns="iteration, evaluation, void, void, void, xmean" (startseed=209166, 2026/02/11 10:36:6.69)
0 1 0 0 0 1.142001e-01 9.898619e-02 1.087546e-01 8.172440e-02 9.258231e-02 1.034975e-01 1.621054e-01 1.514197e-01 9.422907e-02 1.076148e-01 1.028930e-01 8.196726e-02 4.541958e-02 8.964585e-02 2.855003e-02 9.898619e-02 1.268803e-01 5.125909e-02 6.384987e-02 3.095428e-01 8.339527e-02 7.073973e-02 1.507665e-01 2.926367e-01 1.115476e-01 3.278690e-01 2.270979e-01 2.039900e-01 5.000000e-01 5.000000e-01 
1 11 0 0 0 1.096595e-01 9.286062e-02 1.048069e-01 8.603443e-02 9.526867e-02 1.135091e-01 1.442313e-01 1.576908e-01 9.730540e-02 1.074609e-01 1.007192e-01 8.747336e-02 4.604231e-02 8.825655e-02 2.989735e-02 1.020193e-01 1.173450e-01 4.421255e-02 5.747588e-02 2.874464e-01 9.958915e-02 7.791440e-02 1.532103e-01 3.084909e-01 9.917007e-02 3.040823e-01 2.360556e-01 2.090874e-01 4.450979e-01 5.463390e-01 
2 21 0 0 0 1.061089e-01 9.727647e-02 1.070033e-01 8.076116e-02 9.652125e-02 1.074678e-01 1.467678e-01 1.555603e-01 9.487271e-02 1.002608e-01 8.722072e-02 9.280188e-02 5.055035e-02 8.491702e-02 3.243052e-02 1.007170e-01 1.170435e-01 4.445321e-02 5.746902e-02 2.733266e-01 1.020036e-01 7.453582e-02 1.454092e-01 3.206221e-01 9.422499e-02 3.506465e-01 2.396706e-01 1.951807e-01 4.433726e-01 5.190402e-01 
3 31 0 0 0 1.023372e-01 9.603260e-02 1.077122e-01 6.920947e-02 1.023109e-01 1.078755e-01 1.355086e-01 1.521422e-01 9.606281e-02 1.037307e-01 1.037777e-01 8.726653e-02 5.267607e-02 9.005425e-02 3.196694e-02 9.492166e-02 1.133660e-01 4.543390e-02 5.422541e-02 2.720919e-01 9.244420e-02 7.164313e-02 1.591891e-01 3.124246e-01 9.374642e-02 3.428356e-01 2.246659e-01 1.775016e-01 4.566569e-01 5.129679e-01 
4 41 0 0 0 9.940176e-02 9.063746e-02 1.082148e-01 7.433223e-02 1.029304e-01 1.080014e-01 1.284112e-01 1.581449e-01 1.063195e-01 9.976068e-02 1.011221e-01 8.753640e-02 5.123323e-02 9.692736e-02 2.911705e-02 8.498996e-02 1.215930e-01 4.814301e-02 5.415594e-02 2.924314e-01 8.833513e-02 7.339175e-02 1.480615e-01 2.841029e-01 9.221503e-02 3.446066e-01 2.378699e-01 1.931422e-01 4.185130e-01 5.186050e-01 
5 51 0 0 0 9.350543e-02 9.439253e-02 1.070660e-01 7.455974e-02 1.089888e-01 1.002671e-01 1.247004e-01 1.591389e-01 1.049303e-01 9.698001e-02 1.082364e-01 8.673955e-02 5.033463e-02 1.022386e-01 2.901524e-02 8.223996e-02 1.261588e-01 5.035221e-02 5.724533e-02 3.099372e-01 7.883938e-02 7.969975e-02 1.406060e-01 2.965715e-01 9.072962e-02 3.286945e-01 2.456244e-01 1.800150e-01 4.436449e-01 5.285798e-01 
6 61 0 0 0 9.671242e-02 9.808445e-02 1.068660e-01 8.098688e-02 1.146809e-01 1.032871e-01 1.178494e-01 1.591565e-01 1.017571e-01 1.058778e-01 1.114182e-01 9.135160e-02 5.389428e-02 9.746447e-02 3.003236e-02 8.202838e-02 1.270730e-01 5.016822e-02 5.273813e-02 3.155005e-01 7.422594e-02 8.714731e-02 1.428738e-01 3.084027e-01 9.563973e-02 3.183122e-01 2.344444e-01 1.775600e-01 4.489599e-01 5.212204e-01 
7 71 0 0 0 9.430529e-02 9.128546e-02 1.112039e-01 8.380627e-02 1.155266e-01 1.044780e-01 1.128957e-01 1.566085e-01 1.059683e-01 9.818348e-02 1.206929e-01 9.895975e-02 5.540319e-02 9.719357e-02 2.865254e-02 8.260806e-02 1.149912e-01 4.763475e-02 5.095123e-02 3.133264e-01 7.801055e-02 8.777818e-02 1.469395e-01 3.095604e-01 9.558191e-02 3.337694e-01 2.246543e-01 1.746989e-01 4.543329e-01 5.006148e-01 
8 81 0 0 0 9.133273e-02 9.590115e-02 1.110477e-01 8.526466e-02 1.180261e-01 9.981377e-02 1.201041e-01 1.606684e-01 1.021811e-01 8.598889e-02 1.264656e-01 1.004634e-01 5.421685e-02 9.414649e-02 2.773628e-02 8.231375e-02 1.200330e-01 4.971549e-02 5.433144e-02 3.169431e-01 7.607991e-02 8.208398e-02 1.460529e-01 3.199012e-01 9.552834e-02 3.400295e-01 2.303289e-01 1.840370e-01 4.974780e-01 5.504817e-01 
9 91 0 0 0 9.090024e-02 9.104677e-02 1.030720e-01 7.848180e-02 1.080428e-01 9.936740e-02 1.191030e-01 1.590249e-01 1.001464e-01 8.973682e-02 1.191509e-01 9.765084e-02 5.097086e-02 9.048647e-02 2.861480e-02 8.493122e-02 1.219843e-01 4.724390e-02 5.480031e-02 3.048611e-01 7.226349e-02 8.222511e-02 1.525379e-01 3.296335e-01 8.890816e-02 3.362788e-01 2.257012e-01 1.952909e-01 5.101894e-01 6.052846e-01 
